City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,carmen,18.6333,-91.8333,22.02,100,100,0.0,MX,1679250195
1,carnarvon,-24.8667,113.6333,23.31,79,0,8.88,AU,1679250334
2,qaanaaq,77.484,-69.3632,-22.66,70,41,2.87,GL,1679250335
3,darlawn,24.0167,92.9,14.59,98,100,0.93,IN,1679250336
4,ahuimanu,21.4447,-157.8378,26.22,80,75,2.24,US,1679250337
5,nikolskoye,59.7035,30.7861,2.94,99,100,2.14,RU,1679250338
6,punta arenas,-53.15,-70.9167,10.06,57,40,13.89,CL,1679250338
7,fortuna,40.5982,-124.1573,12.18,93,75,7.2,US,1679250101
8,sibolga,1.7427,98.7792,24.93,90,67,1.49,ID,1679250339
9,itoman,26.1247,127.6694,20.01,74,40,2.57,JP,1679250305
10,kutum,14.2,24.6667,25.76,13,79,3.57,SD,1679250339
11,busselton,-33.65,115.3333,18.82,58,54,6.2,AU,1679250340
12,clyde river,70.4692,-68.5914,-24.87,77,0,6.69,CA,1679250340
13,asasa,7.1,39.2,11.89,96,100,2.44,ET,1679250341
14,atuona,-9.8,-139.0333,26.87,73,8,6.81,PF,1679250341
15,lebu,-37.6167,-73.65,15.65,66,4,8.98,CL,1679250342
16,jamestown,42.097,-79.2353,-2.21,58,100,9.77,US,1679250342
17,rikitea,-23.1203,-134.9692,25.97,72,2,5.51,PF,1679250343
18,yatou,37.15,122.3833,4.88,76,100,3.16,CN,1679250343
19,hobart,-42.8794,147.3294,9.92,72,75,4.63,AU,1679250344
20,asau,46.4333,26.4,5.71,71,81,0.64,RO,1679250345
21,muskogee,35.5834,-95.3336,6.64,34,0,2.5,US,1679250346
22,poum,-20.2333,164.0167,26.39,75,0,4.23,NC,1679250349
23,havelock,34.8791,-76.9013,13.88,37,56,0.89,US,1679250350
24,vila franca do campo,37.7167,-25.4333,17.23,83,48,6.28,PT,1679250350
25,tarko-sale,64.9225,77.785,-20.66,85,25,5.55,RU,1679250351
26,eureka,40.8021,-124.1637,12.33,97,100,0.89,US,1679250071
27,taoudenni,22.6783,-3.9836,31.55,10,0,7.32,ML,1679250352
28,saldanha,-33.0117,17.9442,19.03,82,0,6.09,ZA,1679250352
29,pisco,-13.7,-76.2167,27.03,61,0,4.63,PE,1679250353
30,port elizabeth,-33.918,25.5701,23.94,87,20,6.69,ZA,1679250353
31,hermanus,-34.4187,19.2345,17.67,75,0,1.5,ZA,1679250354
32,new norfolk,-42.7826,147.0587,9.72,64,41,0.89,AU,1679250354
33,pereira barreto,-20.6383,-51.1092,27.34,64,82,2.52,BR,1679250355
34,chokurdakh,70.6333,147.9167,-27.53,97,100,6.33,RU,1679250355
35,laramie,41.3114,-105.5911,6.09,20,0,12.86,US,1679250244
36,timra,62.487,17.3257,0.82,86,100,5.66,SE,1679250356
37,lavrentiya,65.5833,-171.0,-10.81,96,100,2.5,RU,1679250356
38,eyl,7.9803,49.8164,27.07,80,100,3.57,SO,1679250357
39,maceio,-9.6658,-35.7353,30.69,62,40,8.75,BR,1679250141
40,albany,42.6001,-73.9662,0.57,55,79,1.34,US,1679250119
41,rawson,-43.3002,-65.1023,24.3,25,0,4.05,AR,1679250358
42,opuwo,-18.0607,13.84,24.2,33,90,4.48,NA,1679250358
43,vaini,-21.2,-175.2,25.09,94,75,4.63,TO,1679250288
44,yellowknife,62.456,-114.3525,-13.71,61,40,4.12,CA,1679250359
45,la ronge,55.1001,-105.2842,-10.86,57,0,4.12,CA,1679250359
46,korla,41.7597,86.1469,4.98,18,60,6.41,CN,1679250360
47,hilo,19.7297,-155.09,26.45,67,20,3.09,US,1679250351
